pc,register,string_address,instruction,string
0x0015199c,$a2,0x001b64c0,lui,ROM image is in interleaved format - converting...
0x001519f0,$a0,0x001b6520,move,.cht
0x00151a58,$a2,0x001b64f8,ori,ROM lied about its type! Trying again.
0x00151bc8,$a1,0x001b6528,lui,YOSHI'S ISLAND
0x00151bf8,$a1,0x001b6538,lui,YUYU NO QUIZ DE GO!GO!
0x00151c34,$a1,0x001b6550,lui,SP MOMOTAROU DENTETSU2
0x00151c50,$a1,0x001b6568,lw,WWF SUPER WRESTLEMANIA
0x00151dcc,$a1,0x001b6580,addiu,TREASURE HUNTER G
0x00151e10,$a0,0x001b6598,addiu,METAL COMBAT
0x00151e4c,$a2,0x001b6460,addiu,Warning! Hacked Dump!
0x00151ea0,$a2,0x001b65a8,lui,No ROM file header found.
0x0015226c,$a2,0x001b64c0,ori,ROM image is in interleaved format - converting...
0x00152410,$a1,0x001b65d0,lw,DAIKAIJYUMONOGATARI2
0x00152460,$a1,0x001b65e8,addiu,Star Ocean
0x001526d0,$a1,0x001b65e8,lui,Star Ocean
0x001526f0,$a1,0x001b65f8,lui,SOUND NOVEL-TCOOL
0x00152794,$a1,0x001b6610,move,DERBY STALLION 96
0x00152b48,$a1,0x001b6640,move,"""%s"" [%s] %s, %s, Type: %s, Mode: %s, TV: %s, S-RAM: %s, ROMId: %s Company: %2.2s CRC32: %08X"
0x00152bac,$a3,0x001b6630,addiu,bad checksum
0x00152d04,$a1,0x001b66b0,lui,THOROUGHBRED BREEDER3
0x00152d34,$a1,0x001b66c8,lui,RPG-TCOOL 2
0x00152d98,$a1,0x001b66d8,lui,ADD-ON BASE CASSETE
0x00152e78,$a1,0x001b66f0,lui,Super Street Fighter
0x00152e94,$a1,0x001b6708,lui,MEGAMAN X
0x00152f58,$a1,0x001b6718,lw,ROCKMAN X
0x00152f68,$a3,0x001b66a0,addu,checksum ok
0x001531e4,$a1,0x001b66f0,addiu,Super Street Fighter
0x00154908,$a0,0x001b6728,lw,TALES
0x001568e8,$v0,0x001b6738,ori,NTSC
0x00156908,$v1,0x001b6740,addiu,120ns
0x00156910,$v1,0x001b6748,move,200ns
0x00156914,$v1,0x001b6748,lbu,200ns
0x00156918,$v0,0x001b6748,lui,200ns
0x00156924,$v0,0x001b6750,lui,HiROM
0x00156938,$v0,0x001b6758,lui,LoROM
0x00156990,$v0,0x001b6768,move,Corrupt
0x001569c8,$a1,0x001b6760,lui,%dKb
0x001569e0,$t0,0x001b6768,move,Corrupt
0x00156a00,$t0,0x001b6768,move,Corrupt
0x00156a08,$v0,0x001b6768,ori,Corrupt
0x00156a5c,$v0,0x001b6848,ori,ROM only
0x00156a74,$a1,0x001b6770,lui,%dMbits
0x00156b50,$a1,0x001b6858,lui,%s+%s
0x00156b54,$a3,0x001b6860,lui,ST-010
0x00156b68,$a3,0x001b6868,lui,ST-018
0x00156b70,$a1,0x001b6858,addiu,%s+%s
0x00156bb0,$a3,0x001b6870,lw,ST-011
0x00156bc0,$a1,0x001b6858,lui,%s+%s
0x00156bd8,$a3,0x001b6878,lui,SPC7110
0x00156be0,$a1,0x001b6858,addiu,%s+%s
0x00156bec,$a3,0x001b6880,lui,SPC7110+RTC
0x00156c98,$a1,0x001b6898,lui,%02x
0x00156cb4,$a1,0x001b68a0,lui,HIGHWAY BATTLE 2
0x00156cd8,$a1,0x001b68b8,lui,THE FLINTSTONES TTOSM
0x00156cfc,$a1,0x001b68d0,lui,UNIRACERS
0x00156d28,$a1,0x001b68e0,move,STAR FOX 2
0x00156da0,$a1,0x001b68f0,lui,WAR 2410
0x00156df4,$a1,0x001b6900,slti,XBAND
0x00156e7c,$a1,0x001b6908,lui,DUNGEON MASTER
0x00156eac,$a1,0x001b6918,lui,CACOMA KNIGHT
0x00156ecc,$a1,0x001b6928,lui,EARTHWORM JIM 2
0x00156ef8,$a1,0x001b6948,lui,CQ  
0x00156f28,$a1,0x001b6958,lui,AVCJ
0x00156f5c,$a1,0x001b6968,lui,BATMAN--REVENGE JOKER
0x00156f78,$a1,0x001b6980,lui,STAR FOX
0x00156fb8,$a1,0x001b69a0,lui,FX SKIING NINTENDO 96
0x00156fec,$a1,0x001b69c8,lui,CHUCK ROCK
0x00157008,$a1,0x001b69d8,lui,RADICAL DREAMERS
0x00157110,$a1,0x001b6a08,lui,LEGEND
0x00157158,$a1,0x001b6a10,lui,ASRJ
0x00157210,$a1,0x001b6a30,lui,WILD TRAX
0x00157284,$a1,0x001b6a48,addiu,DAFFY DUCK: MARV MISS
0x001572c8,$a1,0x001b6a60,lui,ZBPJ
0x001572fc,$a1,0x001b6a68,lui,AEVJ
0x00157330,$a1,0x001b6a70,lui,A2DJ
0x00157358,$a1,0x001b6a78,lui,AZIJ
0x0015738c,$a1,0x001b6a80,lui,ZX3J
0x001573c0,$a1,0x001b6a88,lui,AARJ
0x00157400,$a1,0x001b6a90,lui,A23J
0x0015743c,$a1,0x001b6a98,lui,AIIJ
0x00157478,$a1,0x001b6aa0,lui,AITJ
0x001574b8,$a1,0x001b6aa8,lui,AJ6J
0x001574d4,$a1,0x001b6ab0,lui,AJUJ
0x00157504,$a1,0x001b6ab8,lui,AKAJ
0x0015755c,$a1,0x001b6ac0,lui,AFJJ
0x00157578,$a1,0x001b6ac8,lui,AKFJ
0x001575c0,$a1,0x001b6ad0,lui,AKFE
0x00157630,$a1,0x001b6ad8,lui,ARWJ
0x0015764c,$a1,0x001b6ae0,lui,AVRJ
0x00157688,$a1,0x001b6ae8,lui,AO3J
0x001576c4,$a1,0x001b6af0,lui,AJOJ
0x001576f4,$a1,0x001b6af8,lui,APBJ
0x00157724,$a1,0x001b6b00,lui,AONJ
0x00157760,$a1,0x001b6b08,lui,AEPE
0x00157798,$a1,0x001b6b10,lui,A3GE
0x00157808,$a1,0x001b6b18,move,A4RE
0x00157808,$s0,0x001b6b20,move,AGFJ
0x00157818,$a1,0x001b6b20,move,AGFJ
0x00157818,$s0,0x001b6b20,move,AGFJ
0x00157820,$a1,0x001b6b20,lui,AGFJ
0x00157888,$a1,0x001b6b28,lui,ASYJ
0x0015788c,$s0,0x001b6b20,addu,AGFJ
0x001578a4,$a1,0x001b6b30,lui,AX2J
0x001578d4,$a1,0x001b6b38,lui,A4WJ
0x00157934,$a1,0x001b6b40,lui,AHJJ
0x00157950,$a1,0x001b6b48,lui,SFX 
0x001579a8,$a1,0x001b6b60,slti,WANDERERS FROM YS
0x001579f4,$a1,0x001b6b78,lui,GOGO ACKMAN3
0x00157ac4,$a1,0x001b6b98,lui,SWORD WORLD SFC
0x00157ae0,$a1,0x001b6ba8,lui,ALIENS vs. PREDATOR
0x00157b50,$a1,0x001b6be0,lui,HITOMI3
0x00157b6c,$a1,0x001b6be8,lui,SUPER DRIFT OUT
0x00157ba4,$a1,0x001b6b48,lui,SFX 
0x00157bc8,$a1,0x001b6c10,addiu,LETs PACHINKO(
0x00157c30,$a1,0x001b6c20,lui,FURAI NO SIREN
0x00157c5c,$a1,0x001b6c30,lui,LOVE QUEST
0x00157cd4,$a1,0x001b6c40,lui,NANGOKUSYONEN PAPUWA
0x00157cf4,$a1,0x001b6c58,lui,Tetsuwan Atom
0x00157d70,$a1,0x001b6c68,lui,SFC ODA NOBUNAGA
0x00157d94,$a1,0x001b6c80,addu,Super Batter Up
0x00157e6c,$a1,0x001b6c90,addiu,goemon 4
0x00157e94,$a1,0x001b6ca0,lui,ZENKI TENCHIMEIDOU
0x00157eb8,$a1,0x001b6cb8,lui,GANBA LEAGUE
0x00157ee8,$a1,0x001b6cc8,addiu,SFC 
0x00157f20,$a1,0x001b6cd8,lui,ARWE
0x00157f58,$a1,0x001b6ce0,addiu,AFJE
0x00157f80,$a1,0x001b6ce8,lui,YOSSY'S ISLAND
