address,name,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,pseudocode_sha256,evidence
0x0012ba5c,snes_p16_0012ba5c,snes-core-dsp,medium-high,0x0012a9f4,1,89,0,f2150e9b563f4c8d2ff118180ef7cba68d200d2f39cc84a1121a878f91d5e42c,complete R5900 structural decompile
0x0012bd48,snes_p16_0012bd48,snes-core-dsp,medium-high,0x0012aa90,1,61,0,252aab4e1c8966e9d018a6c92b851fa46e76bd8dae0ad685a2661c606cf04536,complete R5900 structural decompile
0x0012bf5c,snes_p16_0012bf5c,snes-core-dsp,medium-high,0x0012c004,2,25,0,4666538915b1eebce638da167e6fb8ceb3f29c4943b1191b157a47dcbe3e07c4,complete R5900 structural decompile
0x0012c02c,snes_p16_0012c02c,snes-core-dsp,medium-high,0x0012e6b0,1,34,0,1f44dc215cbe37074a2bc7729757000b247f111820c9c42764dfce7580a79cbf,complete R5900 structural decompile
0x0012c188,snes_p16_0012c188,snes-core-dsp,medium-high,0x0012c2c8,2,50,0,67e4b57835da245e807d83d824175b6a911fbe989678cd6653cedeafea7a12d5,complete R5900 structural decompile
0x0012c2dc,snes_p16_0012c2dc,snes-core-dsp,medium-high,0x0012c388,23,30,0,9853428ee8d8ae6d51d153d84c7f7de8d5116e02ff969f64c9931dc62eaf9d8c,complete R5900 structural decompile
0x0012c398,snes_p16_0012c398,snes-core-dsp,medium-high,0x0012c478,22,27,0,591eafd4ce4a36247317000cf433dc32b0c84cb95996c6819cbb265d40fcf77e,complete R5900 structural decompile
0x0012c444,snes_p16_0012c444,snes-core-dsp,medium,0x0012ed44,1,14,1,bdecfdb2aaad2126b054761e1e85360da4ee3c387de1ce2851ae4445d07fac22,complete short R5900 decompile; absolute-global label overlap reviewed
0x0012c4a8,snes_p16_0012c4a8,snes-core-dsp,medium,0x0012eef0,1,24,1,6abb6c955f0988cfded5b749eed8e6b2d3c5261514845fabdeeb4ebabb4ec090,complete short R5900 decompile; absolute-global label overlap reviewed
0x0012cbd8,snes_p16_0012cbd8,snes-core-dsp,medium-high,0x0012ceb8,4,50,0,c8f8497b9ca06b4157bd0cfb5b98610ac13a0c445e9d2842c4853973b2ee3e73,complete R5900 structural decompile
0x0012d334,snes_p16_0012d334,snes-core-dsp,medium-high,0x0012f2d8,1,41,0,e4a4cc7927b352e33938b6db414effaf5a75cebd324203b6046eae54ab89e307,complete R5900 structural decompile
0x0012d4ac,snes_p16_0012d4ac,snes-core-dsp,medium-high,0x0012eadc,1,41,0,088c351fd84e8f1e4314adb18bed24888c89dbb89efa9e1aab4cd3d9ec01a103,complete R5900 structural decompile
0x0012d624,snes_p16_0012d624,snes-core-dsp,medium-high,0x0012edcc,1,41,0,9e275499f97d3ac177d01d5ee76ecf42ad318fe7e2fb00406b818064c8459e06,complete R5900 structural decompile
0x0012e04c,snes_p16_0012e04c,snes-core-dsp,medium,0x0012ee28,1,19,2,23fa887fbe428489dfb892f026fadc78c23587f393fb7ccea5959dc0be26964f,complete short R5900 decompile; unreachable compiler block and global-label overlap reviewed
0x0012e5b8,snes_p16_0012e5b8,snes-core-dsp,medium-high,0x0012f9e8,1,46,0,6fdfed7331e61d54a64c8aae18c2785dab17c57741ca1a3a99be20dde09614d4,complete R5900 structural decompile
0x00130134,snes_p16_00130134,snes-core-dsp,medium-high,0x0013010c,2,142,0,a7e60619f222e09b7c6ac1dac7305dc41327e2ca3568f6ec4af5bb90e3499ab0,complete R5900 structural decompile
0x001305a0,snes_p16_001305a0,snes-core-dsp,medium-high,0x00130a24,3,54,0,f6635b8bc6b1a6f59e1aa97787cfc0ee3dc520477e6260d2d9a15d8e37202211,complete R5900 structural decompile
0x001306f8,snes_p16_001306f8,snes-core-dsp,medium-high,0x00115a04,1,69,0,9b5c29871d00923ca775f89be8abcf25392def8e4e3ec98ae8ff52e957e2d857,complete R5900 structural decompile
