address,name,source,prior_status,area,confidence,first_call_site,call_count,pseudocode_lines,warning_count,warning_categories,warning_text,pseudocode_sha256,evidence
0x0018ff6c,unzOpenCurrentFile,mapped-promotion,IDENTIFIED,unzip,medium-high,0x001507c4,2,77,0,,,f224bc58cc14389ea6374b040e6f4585b0e55809fa5b7bd7441ba6cd7016d285,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001900d4,unzReadCurrentFile,mapped-promotion,IDENTIFIED,unzip,medium-high,0x00150804,1,141,0,,,45c7b904574365e58199b9573a84714e529e5254e1bdbd4bd19f9c1f524fd89e,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a4108,extract_cie_info,mapped-promotion,IDENTIFIED,unwind,medium-high,0x001a4df8,1,78,0,,,8edd6d2933a40aebc1d10bbc5d8e6cac02a129cc8dbbb5329acd650a2032363b,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a42b8,execute_stack_op,mapped-promotion,IDENTIFIED,unwind,medium,0x001a508c,2,431,1,nonreturn-annotation,Subroutine does not return,e0219b8a9a2a7240f5bcda238d63d851c935c72baa77083f2775b56d880e6d70,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; existing binary-derived mapped name retained
0x001a4848,execute_cfa_program,mapped-promotion,IDENTIFIED,unwind,medium,0x001a4e28,2,251,1,nonreturn-annotation,Subroutine does not return,c422ece26530a113b4545e8feff08fbe3633c8439cf7aca9ea7aa95092bc76d5,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; existing binary-derived mapped name retained
0x001a4ef0,__frame_state_for,mapped-promotion,IDENTIFIED,unwind,medium-high,,0,63,0,,,7eef5beeba857e02402a5e42e1f592f526ee4d70caebe8884ab5f35a9df0210c,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a4fe0,snes_p17_001a4fe0,untracked-code-jal,UNTRACKED,gcc-runtime,medium,0x001a51e4,2,75,1,nonreturn-annotation,Subroutine does not return,220b8d7060cd50298be10441b4977862dc45ebfb0df551cd44806dcd7d19f8b1,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; address label retained because the historical symbol is unproven
0x001a55a8,_Unwind_RaiseException,mapped-promotion,IDENTIFIED,unwind,medium-high,0x001a9e28,2,81,0,,,a1a05114d1a5e19d55845c88d9e4a063c79973c6ddf2e34ec5411b8ece54cdde,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a5918,_Unwind_ForcedUnwind,mapped-promotion,IDENTIFIED,unwind,medium-high,,0,50,0,,,0167ff77782f3378d5d656450024a69490f6b02d4da38613e95d776db64cf0a4,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a5ac0,_Unwind_Resume,mapped-promotion,IDENTIFIED,unwind,medium,0x001005a8,9,52,1,nonreturn-annotation,Subroutine does not return,eca5a3d3a15c0fcea196bb5bdcecce83ffd2d1772446f7289333043f81b57460,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; existing binary-derived mapped name retained
0x001a6f30,_Unwind_Find_FDE,mapped-promotion,IDENTIFIED,unwind-fde,medium-high,0x001a4dc8,1,72,0,,,3669b9ccf33da2ecccf437f84d44c1b3b36261ee1a3f967fe0f85bb496c697e8,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001a70c0,snes_p17_001a70c0,untracked-code-jal,UNTRACKED,gcc-runtime,medium,0x001a6f10,1,157,1,nonreturn-annotation,Subroutine does not return,9653c5ef146440d6b840a86f3aaa111a5fd6cb7f1c7271ba093b48049e5ef705,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; address label retained because the historical symbol is unproven
0x001a9728,__gxx_personality_v0,mapped-promotion,IDENTIFIED,cpp-eh,medium,,0,174,1,nonreturn-annotation,Subroutine does not return,36953ecd2fd1758449b95af979a6acfb932c532ae8bd7c5271755a96e2293a0c,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; existing binary-derived mapped name retained
0x001a9b88,__cxa_call_unexpected,mapped-promotion,IDENTIFIED,cpp-eh,medium,0x001a9f5c,2,43,1,nonreturn-annotation,Subroutine does not return,e78c6e6bcc86c3bdbba2d97d2c09e964294ad8179f8441352ff6fbeff01b427a,complete R5900 structural decompile; pinned warnings: nonreturn-annotation; existing binary-derived mapped name retained
0x001aa400,vmi_class_type_info_do_find_public_src,mapped-promotion,IDENTIFIED,cpp-rtti,medium-high,,0,41,0,,,98d6357eff3071f6413d728486fa525f584ad37193f416a72e1f8148eba16b56,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001aa638,vmi_class_type_info_do_dyncast,mapped-promotion,IDENTIFIED,cpp-rtti,medium-high,,0,234,0,,,f5308c9e4b84c9b5ff62a265efeedf3e232c7684cc62712e3fe05255f9b1bb8f,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001aabd8,vmi_class_type_info_do_upcast,mapped-promotion,IDENTIFIED,cpp-rtti,medium-high,,0,129,0,,,f6a47fabb1d3bf42573529464d6ffef462978f899d3a81020cbaceca7e5769ce,complete R5900 structural decompile; existing binary-derived mapped name retained
0x001aae70,__dynamic_cast,mapped-promotion,IDENTIFIED,cpp-rtti,medium-high,,0,47,0,,,1a7fe1f9a097d7001c36a80d5db7e70a3e0adfa426a20efc9f497f007104ea51,complete R5900 structural decompile; existing binary-derived mapped name retained
