symbol	category	status	target_address	extent_hex	region	sha256	evidence	requesters	detail
g_p12_memory	named-program-data	RANGE_PROVED	0x34e2b0	0x1b078	initialized	dbddd7ba01fe40175b78a2c8c2fa3fed2b54ffc3d334f8072cb711dbc61b5823	v87-target-address+minimum-consumed-extent	ps2/progress12_io_state_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_p12_sdd1_dat_extension	named-program-data	RANGE_PROVED	0x1b8050	0x5	initialized	34acd0f3d95aa0c3b8aa4cd4c2f94d09911d433c6a3a6a0c653f639007c21fd5	v87-target-address+minimum-consumed-extent	ps2/progress12_io_state_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_p21_state_extension_prefix_001b1348	named-program-data	RANGE_PROVED	0x1b1348	0x2	initialized	f1534392279bddbf9d43dde8701cb5be14b82f76ec6607bf8d6ad557f60f304e	reviewed-source-array	ps2/progress21_small_helpers_recovered.o	two-byte state extension prefix is explicitly consumed;evidence=src/ps2/progress21_small_helpers_recovered.c#extern const char g_p21_state_extension_prefix_001b1348[2]
g_p21_toc_anchor_00427010	named-program-data	RANGE_PROVED	0x427010	0x4	zero-fill	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	reviewed-source-pointer	ps2/progress21_small_helpers_recovered.o	TOC anchor is a four-byte EE pointer slot in zero-fill memory;evidence=src/ps2/progress21_small_helpers_recovered.c#extern const uint8_t *g_p21_toc_anchor_00427010
g_screen_colors	named-program-data	RANGE_PROVED	0x35ceb0	0x200	initialized	076a27c79e5ace2a3d47f9dd2e83e4ff6ea8872b3c2218f66c92b89b55f36560	v87-target-address+minimum-consumed-extent	snes9x/draw_large_pixel_recovered.o;snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_draw_recovered.o;snes9x/tile_large16_recovered.o;snes9x/tile_scaled_remaining_recovered.o;snes9x/tile_x2_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_selected_rom_path	named-program-data	RANGE_PROVED	0x428180	0x400	zero-fill	5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef	v87-target-address+minimum-consumed-extent	app/main_flow_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_settings_54	named-program-data	RANGE_PROVED	0x345534	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_settings_64	named-program-data	RANGE_PROVED	0x345544	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_settings_66	named-program-data	RANGE_PROVED	0x345546	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_shrink_workspace_recovered	named-program-data	RANGE_PROVED	0x448200	0x6000	zero-fill	de676bae28a480011d3d012db14bef539324e62a841a9627863c689bea168af3	reviewed-target-workspace	unzip/unshrink_recovered.o	unShrink constructs the shared dictionary base with lui 0x45 plus signed offset -0x7e00;evidence=analysis/functions/unshrink_0018ea64.asm#18eab0: 00 82 42 24
g_special_load_flag	named-program-data	RANGE_PROVED	0x345544	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_special_save_enable	named-program-data	RANGE_PROVED	0x35b328	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_sram	named-program-data	RANGE_PROVED	0x34e298	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_sram_initial_value	named-program-data	RANGE_PROVED	0x35b73c	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_sram_size	named-program-data	RANGE_PROVED	0x34e2d4	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	v87-target-address+minimum-consumed-extent	snes9x/sram_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_state_003454e0	named-program-data	RANGE_PROVED	0x3454e0	0x148	initialized	7b4499c3cc6e82a9da3100028f52af7f8c1e9ee60e33010a108e401989782962	reviewed-overlap-alias	ps2/progress22_more_small_helpers_recovered.o	address-labelled state aliases the complete settings blob at the same address;evidence=src/app/main_flow_recovered.c#extern uint8_t g_Settings_blob[0x148]
g_tail_mask	named-program-data	RANGE_PROVED	0x3f4050	0x14	initialized	16df5cb86fb8848705fd6ab9751f9ab89f745abd9664febd0e0802665f770ecd	v87-target-address+minimum-consumed-extent	snes9x/tile_16bit_recovered.o;snes9x/tile_color_math_recovered.o;snes9x/tile_draw_clipped_recovered.o;snes9x/tile_scaled_remaining_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_tile_cache_state	named-program-data	RANGE_PROVED	0x35c268	0x34	initialized	7955cb2de90dd9efc6df9fdbf5f5d10c114f4135a9a6b52db1003be749e32f7a	v87-target-address+minimum-consumed-extent	snes9x/memory_init_recovered.o	target bytes/zero-fill fingerprinted; extent remains the source-consumed minimum
g_unz_ops_recovered	named-program-data	SOURCE_REFACTOR		0x18	source-refactor		reviewed-synthetic-adapter	unzip/unzip_api_recovered.o	target calls fioRead directly and contains no six-function operation-table object;evidence=analysis/functions/unzip_api_0018f010.asm#18f02c: 48 74 06 0c
g_zip_io_recovered	named-program-data	SOURCE_REFACTOR		0xa040	source-refactor		reviewed-synthetic-adapter	unzip/explode_recovered.o;unzip/unreduce_recovered.o;unzip/unshrink_recovered.o	target state is split between a pointer slot scalar globals and the shared 0x448200 workspace rather than one contiguous adapter;evidence=analysis/functions/unzip_io_huft_0018dc60.asm#18dc7c: 50 48 24 8e
snes_vtable_00426c28	vtable-or-rtti	ADDRESS_PROVED	0x426c28		address-only		reviewed-address-labelled-source	ps2/address_leaf_recovered.o	vtable address is known but its complete entry count and overlap boundary remain unproved;evidence=src/ps2/address_leaf_recovered.c#extern char snes_vtable_00426c28[]
