symbol	target_address	status	extent_hex	region	sha256	function_address	function_extent_hex	access_address	access_opcode	base_register	trace_addresses	instruction_window_sha256	callee_address	callee_sha256	matching_evidence	matching_evidence_sha256	requesters	proof_kind	function_sha256	analysis_sha256	claim
DAT_0034e2c4	0x0034e2c4	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x00114818	0x11dc	0x00114890	lw	2	0x0011488c	82ed319c5af19bbcccd71b33748760ef03ed2753c00d09d5546658355314a715			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	6e8218f0344f7df2d2002cdda3a01bab68e06dec7fa3230659f08d7249b50a56	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2c8	0x0034e2c8	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x0010c300	0x28	0x0010c318	lw	2	0x0010c304	8ef458ba9cd726664f24b1206f527ec5fec4600c7ed3260c9e3014ef99cca5f6			analysis/matching/hunt500plus-v33-validated-204.tsv	198b46bab535289a94dc3974ab342f12191763e99b5f096294b68629f210f5a7	ps2/progress28_structural_lift_recovered.o	block-local-constant	845f26c3e2bd360f6933da5376226d2c9ab199215ec76996ff77dd91c5ca75af	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2cc	0x0034e2cc	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x001522d8	0x107c	0x00152408	lbu	16	0x00152400;0x00152404	32ee8edda8864ebda199c2bd39381466f97b2f1fb1520bf051b199789cb4a4c3			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	block-local-constant	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2cd	0x0034e2cd	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00153674	0x10c	0x00153680	lbu	2	0x00153678	298c4f1b21a15b1c316dc6ebd016d05e31de99f1ae4ed36aadc074c9c5c8c2fa			analysis/matching/hunt500plus-v29-validated-2.tsv	742e9515c441ab40287b23367407ddd0b5873f27ffb2f85765320899907f01e2	ps2/progress28_structural_lift_recovered.o	block-local-constant	c6231c1723e14a6e838d8e90be8de8063bf57ce75663efce607a3656c63c83f8	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_0034e2d4	0x0034e2d4	DIRECT_ACCESS_PROVED	0x1	initialized	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	0x00100e78	0x99c	0x0010107c	lbu	2	0x00101078	0ce5afd3bd8f10dabf8af62363c5e6300ede5f1e419f9418555de593cd49d1aa			analysis/matching/hunt1041-v81-validated-final20.tsv	31c5aad06832fadab8d0bd703531718a87ea186d279c241a41789ae0c2608e1a	ps2/progress28_structural_lift_recovered.o	block-local-constant	c0fc5e6517e952e296e6e98b6121abeb8584e1177fc09a70ece903568fe1e8a7	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_003592fc	0x003592fc	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001005ec	0x2f0	0x00100828	lw	2	0x00100804;0x00100810;0x00100818;0x00100820	e6b9759f0c6a0262408d274a26cb490ff681f42945a8024064f53b505e1fc967			analysis/matching/hunt1041-v80-validated-quickwins-23.tsv	bc64ffd5bceeb09497ff1e765080b7ca7d92f7127b9724423638bbbf4bf2160f	ps2/progress28_structural_lift_recovered.o	block-local-constant	338cfe388d6389ecce854caf39b59af0aae35b3dbbc42a55194d36a3af75e3ee	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_00359304	0x00359304	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001520b8	0x220	0x00152120	lw	2	0x00152110;0x00152114;0x00152118;0x0015211c	c0fee355c3bca0ab92edd37ead7893c5caee289abc217d54355789f987bad2fb			analysis/matching/hunt1041-v51-validated-16.tsv	f172d5ecc5c101fe2f00e42793e8577e17d8f94a789369e4a431dec9d537a293	ps2/progress28_structural_lift_recovered.o	block-local-constant	2cef082042d2e4140084afade3d05d1190c4a2e2829e0ff786b9c0e4cf5a3457	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_00359308	0x00359308	DIRECT_ACCESS_PROVED	0x4	initialized	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0x001522d8	0x107c	0x00152888	sw	2	0x00152858;0x00152874;0x00152878;0x0015287c;0x00152884	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c			analysis/matching/hunt1041-v52-validated-17.tsv	05383075b5e8de362905b18184a8b4b88c4b9e1310568ac1791fff170c6129d9	ps2/progress28_structural_lift_recovered.o	cfg-must-constant	5c6072d8d1892b2346877a2820d67d29a2040a333951ad704b9301380cb47a8c	16753135a76a1b681eab49fafb84328a2664bb7a5fbea8737269b9f7c366ee03	minimum directly accessed span; complete object/array extent and final layout unproved
DAT_00359314	0x00359314	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
DAT_00359318	0x00359318	NO_DIRECT_ACCESS_WITNESS															ps2/progress28_structural_lift_recovered.o				indexed/pointer/array/object bounds require separate proof
