symbol	category	status	target_address	extent_hex	region	sha256	canonical_symbol	evidence	requesters	detail
uRam0044770f	named-external	TARGET_RANGE_PROVED	0x0044770f	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447710	named-external	TARGET_RANGE_PROVED	0x00447710	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447711	named-external	TARGET_RANGE_PROVED	0x00447711	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447712	named-external	TARGET_RANGE_PROVED	0x00447712	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447713	named-external	TARGET_RANGE_PROVED	0x00447713	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447714	named-external	TARGET_RANGE_PROVED	0x00447714	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447715	named-external	TARGET_RANGE_PROVED	0x00447715	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447716	named-external	TARGET_RANGE_PROVED	0x00447716	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447717	named-external	TARGET_RANGE_PROVED	0x00447717	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447718	named-external	TARGET_RANGE_PROVED	0x00447718	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447719	named-external	TARGET_RANGE_PROVED	0x00447719	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044771a	named-external	TARGET_RANGE_PROVED	0x0044771a	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044771b	named-external	TARGET_RANGE_PROVED	0x0044771b	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044771c	named-external	TARGET_RANGE_PROVED	0x0044771c	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044771d	named-external	TARGET_RANGE_PROVED	0x0044771d	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam0044771e	named-external	TARGET_RANGE_PROVED	0x0044771e	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447720	named-external	TARGET_RANGE_PROVED	0x00447720	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
uRam00447721	named-external	TARGET_RANGE_PROVED	0x00447721	0x1	zero-fill	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d		target-address+reviewed-consumed-extent	ps2/progress28_structural_lift_recovered.o	exact private-reference range; final placement remains Stage 3G
