section	target_address	extent_hex	origin	region	alignment_hex	sha256	evidence_sha256
.data.stage3f.va_00423548	0x00423548	0x12	stage3f-access	initialized	0x1	60daa3a5f7dbfa200f8c82840ecf5b42640b70f3b7218a4c6bbd67db542e75a4	e13b0f614c82763e9b257c88a0137323d3ccd65bf89f5ea21e0ad7c365f82c8d
.data.stage3f.va_0042355b	0x0042355b	0x5	stage3f-access	initialized	0x1	8855508aade16ec573d21e6a485dfd0a7624085c1a14b5ecdd6485de0c6839a4	010bced11854db432793474468964ab5859ac555227201cd4ee7822edd18045b
.data.stage3f.va_00423858	0x00423858	0x1c	stage3f-access	initialized	0x1	3addfb141cd7c9c4c6543a82191a3707ac29c7a041217782e61d4d91c691aee8	c644e57db33089608b173274c907d70a84eeb0ec5f682ab108889fd87d2f5e71
.data.stage3f.va_00424850	0x00424850	0x8	stage3f-access	initialized	0x1	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	04456e771564b99c8127561825e8b333313d79c90f24600c282362b08883b6e7
.data.stage3ce.va_00424870	0x00424870	0x1100	stage3ce	initialized	0x1	48d4759d246ced280b5024073114ec2d7dabc0abce1ff3a353e24a5429af1ff6	9900a5188c94330371594878d1a28aae9103f64402e2628c7c970dc81f7fc747
.data.stage3ce.va_00426c28	0x00426c28	0x10	stage3ce	initialized	0x1	98ab7f1993b233dc02fe9d93bcde95a741fbd35781ea5e187c45d78343732b95	25559c9f5de784bba7e8c34ee611817694008d324def90c5fa4db1480ccc4bb1
.data.stage3ce.va_00426d80	0x00426d80	0x4	stage3ce	initialized	0x1	7a4368ac080262bfbadeb4c4081811f5bb1ddbdc228717b4e373e47843b9969d	4b5a01c13e25f48bc69a430a246b2aad26eab238a4d8e03496c096b9ea063e7a
.bss.stage3ce.va_00426e20	0x00426e20	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	f18f7d6b2491aea0da6f6e86b7d813cd44578cf66f09a6b33c32f14218f138e9
.bss.stage3ce.va_00426e2a	0x00426e2a	0x1	stage3ce	zero-fill	0x1	6e340b9cffb37a989ca544e6bb780a2c78901d3fb33738768511a30617afa01d	381966d1d63656b88460c388d0a36fdbd6ac2abc1ea3278dab7d062e913c7de1
.bss.stage3ce.va_00426e2c	0x00426e2c	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	97d3c36efdcffa39674c4b348bbdd1861981d1f4c4492150d5c3f8518ba59007
.bss.stage3ce.va_00426e34	0x00426e34	0x10	stage3ce	zero-fill	0x1	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	0e9ee819951b84c6ed84870b271a07da451c8380f8c5f96dcb9f77dd75f04fac
.bss.stage3ce.va_00426e80	0x00426e80	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	21619dd0079459df7c5a04868ef39431b7747f9cbb4415d1d38ef4ef1d736ec5
.bss.stage3ce.va_00426fa4	0x00426fa4	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	ddfe871d8d2e4fe5b4ef0fae8675e56ae13df42233f888c2bbfe7942007d7931
.bss.stage3ce.va_00426fb4	0x00426fb4	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	39876d78613fc24f061eedc044ec93a69d9f9e15ec63660455df1ff3c173eb50
.bss.stage3ce.va_00426fc4	0x00426fc4	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	ec7c0fa44f414377723dcbc38312b59ebc39100b1b95a9cf2a4dfac69a62386b
.bss.stage3ce.va_00427000	0x00427000	0xc	stage3ce	zero-fill	0x1	15ec7bf0b50732b49f8228e07d24365338f9e3ab994b00af08e5a3bffe55fd8b	65a5d85c685869817310de217b02f7ef7eacd7c8fce5d2e73b06fcbfc05ec854
.bss.stage3ce.va_00427010	0x00427010	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	43238b001119f9532667d9c199c49fa0af01b4c6050117864f83f41bbb430fce
.bss.stage3ce.va_00428180	0x00428180	0x400	stage3ce	zero-fill	0x1	5f70bf18a086007016e948b04aed3b82103a36bea41755b6cddfaf10ace3c6ef	2dc63a712cc6961931460f51df36411fac62d812cad12e98b22242ac5c18884b
.bss.stage3ce.va_0042c764	0x0042c764	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	5ce279beb7000a71ba4db4a3096e13fcbdbb6592fb6b723f06ace3e437913eb6
.bss.stage3ce.va_0042c7a4	0x0042c7a4	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	0228a83baa5d1a0d2140a0dacaceae0895b2a197e3f12773f443e1d2172c681d
.bss.stage3ce.va_0042c7e4	0x0042c7e4	0x4	stage3ce	zero-fill	0x1	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119	ef4e0d23def7e0cab2c0228d35ec1a028c4f54a0d5b15ae28c037136200b9883
.bss.stage3ce.va_0042c800	0x0042c800	0x2	stage3ce	zero-fill	0x1	96a296d224f285c67bee93c30f8a309157f0daa35dc5b87e410b78630a09cfc7	c0fde590e78dae6a775a4678e78ff4a8996afea3169d2a3027a4a0834e3db961
.bss.stage3ce.va_0042c804	0x0042c804	0x1c	stage3ce	zero-fill	0x1	3addfb141cd7c9c4c6543a82191a3707ac29c7a041217782e61d4d91c691aee8	22adf8fd625f6f5b3b738f755f8f9a7b68b9900862796d565de249efd1524bb9
.bss.stage3ce.va_0042d338	0x0042d338	0x3	stage3ce	zero-fill	0x1	709e80c88487a2411e1ee4dfb9f22a861492d20c4765150c0c794abd70f8147c	61459f6856b4371895ffc14eda5079ee5e509fcc215f1516722da4c7280f40f8
.bss.stage3ce.va_0042e87c	0x0042e87c	0xd	stage3ce	zero-fill	0x1	dd46c3eebb1884ff3b5258c0a2fc9398e560a29e0780d4b53869b6254aa46a96	e85acacc93f7b79e96ee83f2db95569857d74a8612ae2688c2963242d128d2d6
.bss.stage3ce.va_0043ecc0	0x0043ecc0	0x10	stage3ce	zero-fill	0x1	374708fff7719dd5979ec875d56cd2286f6d3cf7ec317a3b25632aab28ec37bb	9dd158bd464fbc78587b99f4a5a686d9858141b704e5025f6cd3724ab701cb15
.bss.stage3ce.va_00447700	0x00447700	0x1f	stage3ce	zero-fill	0x1	fd08be957bda07dc529ad8100df732f9ce12ae3e42bcda6acabe12c02dfd6989	a069bbdfda16588b026bcffdbe230cb974e6e76d1178a722a5592b15a57bb9b2
.bss.stage3ce.va_00447720	0x00447720	0x2f	stage3ce	zero-fill	0x1	140eda45fe001c0fe47edd7fc509ff1882d46fbcb7c7437d893c1fb83012e433	e1071ce63069cf8f67d877c59cc01970f4d3bc44661f415898ae58a7454e6bf3
.bss.stage3ce.va_00447754	0x00447754	0x8	stage3ce	zero-fill	0x1	af5570f5a1810b7af78caf4bc70a660f0df51e42baf91d4de5b2328de0e83dfc	993e299bf73fda3fc8796659776234db94f145d0e13ab7a96b971eb9e06e8ba3
.bss.stage3ce.va_00448200	0x00448200	0x6000	stage3ce	zero-fill	0x1	de676bae28a480011d3d012db14bef539324e62a841a9627863c689bea168af3	a8f1765fc6d037718c7504e312d3f806e7cb71556556c70c6357650f331323d8
.bss.stage3ce.va_0044e206	0x0044e206	0x2000	stage3ce	zero-fill	0x1	9f1dcbc35c350d6027f98be0f5c8b43b42ca52b7604459c0c42be3aa88913d47	c50a38197219e93ac70fc03b44f2ffab201c55dfc17c4c90dbed7e3c67dd30a9
