address	name	area	gate	source	profile	object_symbol	object_size	boundary
0x0019d534	fioPutc	fileio	screen2	src/ps2/fileio_recovered.c	sdk-o2	fioPutc_0019d534	36	exact-next-boundary
0x0019d600	SifLoadModule	loadfile	screen2	src/ps2/loadfile_iop_recovered.c	sdk-o2	SifLoadModule_0019d600	32	exact-next-boundary
0x0019d620	SifLoadModuleBuffer	loadfile	screen2	src/ps2/loadfile_iop_recovered.c	sdk-o2	SifLoadModuleBuffer_0019d620	28	exact-next-boundary
0x0019e274	snprintf_room_check	stdio	screen2	src/ps2/stdio_wrappers_recovered.c	sdk-o2	ps2lib_snprintf_room_0019e274	20	exact-next-boundary
0x0019e860	strcasecmp	libc	historical-per-object	historical PS2DEV per-object	hist-os	strcasecmp	132	exact-next-boundary
0x0019eaa4	strrchr	libc	screen2	src/ps2/libc_text_recovered.c	sdk-o2	strrchr_0019eaa4	84	exact-next-boundary
0x0019edac	tolower	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	tolower_0019edac	48	exact-next-boundary
0x0019eddc	toupper	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	toupper_0019eddc	48	exact-next-boundary
0x0019ee0c	isupper	ctype	historical-per-object	historical PS2DEV per-object	hist-o2	isupper	20	exact-next-boundary
0x0019ee20	islower	ctype	historical-per-object	historical PS2DEV per-object	hist-o2	islower	20	exact-next-boundary
0x0019ee34	isalpha	ctype	historical-per-object	historical PS2DEV per-object	hist-os	isalpha	76	exact-next-boundary
0x0019ee80	isdigit	ctype	historical-per-object	historical PS2DEV per-object	hist-o2	isdigit	20	exact-next-boundary
0x0019ee94	isalnum	ctype	historical-per-object	historical PS2DEV per-object	hist-os	isalnum	76	exact-next-boundary
0x0019eee0	iscntrl	ctype	historical-per-object	historical PS2DEV per-object	hist-o2	iscntrl	28	exact-next-boundary
0x0019eefc	isgraph	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	isgraph_0019eefc	64	exact-next-boundary
0x0019ef3c	isprint	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	isprint_0019ef3c	32	exact-next-boundary
0x0019ef5c	ispunct	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	ispunct_0019ef5c	80	exact-next-boundary
0x0019efac	isspace	ctype	screen2	src/ps2/libc_text_recovered.c	sdk-o2	isspace_0019efac	32	exact-next-boundary
0x0019f138	_SifSendCmd	sifcmd	historical-per-object	historical PS2DEV per-object	hist-os	_SifSendCmd	300	exact-next-boundary
0x0019f264	SifSendCmd	sifcmd	screen2	src/ps2/sifcmd_recovered.c	sdk-o2	SifSendCmd_0019f264	60	exact-next-boundary
0x0019f2a0	iSifSendCmd	sifcmd	screen2	src/ps2/sifcmd_recovered.c	sdk-o2	iSifSendCmd_0019f2a0	60	exact-next-boundary
0x0019f2dc	change_addr	sifcmd	screen2	src/ps2/sifcmd_recovered.c	sdk-o2	change_addr_0019f2dc	12	exact-next-boundary
0x0019f2e8	set_sreg	sifcmd	historical-per-object	historical PS2DEV per-object	hist-os	set_sreg	28	exact-next-boundary
0x0019f510	SifExitCmd	sifcmd	screen2	src/ps2/sifcmd_recovered.c	sdk-os	SifExitCmd_0019f510	52	exact-next-boundary
0x0019f544	SifAddCmdHandler	sifcmd	historical-per-object	historical PS2DEV per-object	hist-o2	SifAddCmdHandler	56	exact-next-boundary
0x0019faa8	vprintf	libkernel	screen2	src/ps2/stdio_wrappers_recovered.c	sdk-o2	vprintf_recovered	88	exact-next-boundary
0x0019fb00	EnableDmac	libkernel	historical-per-object	historical PS2DEV per-object	hist-o2	EnableDmac	120	exact-next-boundary
0x0019fbf0	_SifCmdIntHandler	sifcmd	historical-per-object	historical PS2DEV per-object	hist-os	_SifCmdIntHandler	224	exact-next-boundary
0x001a10d0	mcMkDir	libmc	screen2	src/ps2/libmc_recovered.c	sdk-o2	mcMkDir_001a10d0	44	exact-next-boundary
0x001a1af4	SifCheckStatRpc	sifrpc	historical-per-object	historical PS2DEV per-object	hist-os	SifCheckStatRpc	44	exact-next-boundary
